,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
136,hd3167d,hd3167d,8.739684,8.73966668584,4.381469,4.3814722414,8.94,8.94,0.02171,0.0217,,,8.509,8.492,0.07757,0.07757,0.36,0.36,"<a refstr=""CHRISTIANSEN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>","<a refstr=""CHRISTIANSEN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 8.739684,  4.381469)>",36792.783107781244
142,hd35759b,hd35759b,82.888962,82.887500011,64.318779,64.282777796,7.74,7.74,3.76,3.76,,,82.467,82.46700000000001,0.389,0.389,0.389,0.389,"<a refstr=""H&EACUTE;BRARD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>","<a refstr=""H&EACUTE;BRARD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 82.888962,  64.318779)>",Too far
143,hd40956b,hd40956b,91.663147,91.662500013,63.453838,63.453888901000006,6.422999999999999,6.6,2.7,2.7,,,578.6,578.6,1.4,1.4,0.24,0.24,"<a refstr=""JEONG ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv171107173J target=ref>Jeong et al. 2017</a>","<a refstr=""JEONG ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv171107173J target=ref>Jeong et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 91.663147,  63.453838)>",69103.76188088409
144,hd42012b,hd42012b,92.485275,92.4854166855,34.1353,34.1353055598,8.44,8.44,1.6,1.6,,,857.5,857.5,1.67,1.67,0.2,0.0,"<a refstr=""REY ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...601A...9R target=ref>Rey et al. 2017</a>","<a refstr=""REY ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...601A...9R target=ref>Rey et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 92.485275,  34.1353)>",11454.172754664738
146,hd42618b,hd42618b,93.00235699999999,93.004166667,6.783074000000001,6.7830555839999995,6.8389999999999995,6.84,0.04531,0.0453,,,149.61,149.61,0.554,0.5539999999999999,0.19,0.19,"<a refstr=""FULTON ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...830...46F target=ref>Fulton et al. 2016</a>","<a refstr=""FULTON ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...830...46F target=ref>Fulton et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 93.002357,  6.783074)>",87034.14783530666
147,hd47366b,hd47366b,99.41996800000001,99.42083334700001,-12.985116,-12.985000021,6.11,6.11,1.75,1.75,,,363.3,363.3,1.214,1.214,0.089,0.08900000000000001,"<a refstr=""SATO ET AL. 2016"" href=http://adsabs.harvard.edu/abs/2016ApJ...819...59S target=ref>Sato et al. 2016</a>","<a refstr=""SATO ET AL. 2016"" href=http://adsabs.harvard.edu/abs/2016ApJ...819...59S target=ref>Sato et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 99.419968, -12.985116)>",22590.549234403574
148,hd47366c,hd47366c,99.41996800000001,99.42083334700001,-12.985116,-12.985000021,6.11,6.11,1.86,1.86,,,684.7,684.7,1.853,1.8530000000000002,0.278,0.278,"<a refstr=""SATO ET AL. 2016"" href=http://adsabs.harvard.edu/abs/2016ApJ...819...59S target=ref>Sato et al. 2016</a>","<a refstr=""SATO ET AL. 2016"" href=http://adsabs.harvard.edu/abs/2016ApJ...819...59S target=ref>Sato et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 99.419968, -12.985116)>",22590.549234403574
149,hd5583b,hd5583b,14.486254999999998,14.487500019,34.985561,34.985555577,7.6,7.6,5.78,5.78,,,139.35,139.35,0.53,0.53,0.076,0.076,"<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 14.486255,  34.985561)>",3730.4838475950046
150,hd564b,hd564b,2.470091,2.470833351,-50.267821999999995,-50.267777783999996,8.29,8.29,0.33,0.33,,,492.3,492.3,1.2,1.2,0.096,0.096,"<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 2.470091, -50.267822)>",4770.556321959865
151,hd59686ab,hd59686ab,112.95165300000001,112.95,17.086046,17.0858333,5.442,5.45,6.92,6.92,,,299.36,299.36,1.086,1.0859999999999999,0.05,0.05,"<a refstr=""ORTIZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...595A..55O target=ref>Ortiz et al. 2016</a>","<a refstr=""ORTIZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...595A..55O target=ref>Ortiz et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 112.951653,  17.086046)>",3853.2036310537
